OID,Station Name,Component Type,Component Description,Additional Information,High kV,Low kV,Tertiary kV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,High Rating,Duration,Note #,Rating Type.1,High Rating.1,Duration.1,Note #.1,Rating Type.2,High Rating.2,Duration.2,Note #.2,Rating Type.3,High Rating.3,Duration.3,Note #.3,Rating Type.4,High Rating.4,MVA Rating,MVAr High,MVAr Low,Con,Duration.4,Note #.4,Low Rating,Low Rating.1,Low Rating.2,Low Rating.3,Line Number,Type of Change
163125,SUB1,DISC,1011,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163127,SUB1,CB,1012,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163126,SUB1,DISC,1013,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163119,SUB1,DISC,1015,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163128,SUB1,DISC,1025,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163113,SUB1,DISC,1031,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),600,0,,SE (A),600,0,,WN (B),600,0,,WE (C),600,0,,,,,,,,,,,,,,,
163114,SUB1,CB,1032,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),1200,0,,SE (A),1200,0,,WN (B),1200,0,,WE (C),1200,0,,,,,,,,,,,,,,,
163112,SUB1,DISC,1033,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),600,0,,SE (A),600,0,,WN (B),600,0,,WE (C),600,0,,,,,,,,,,,,,,,
163111,SUB1,DISC,1035,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163109,SUB1,WTRP,SUB1-SUB2,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
163115,SUB1,CT,SUB1-SUB2 CB 1032,1200/5 set at 800*1 TRF,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),800,0,,SE (A),800,0,,WN (B),800,0,,WE (C),800,0,,,,,,,,,,,,,,,
163116,SUB1,TERM,SUB1-SUB2 CB 1032,,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),600,0,11.0,SE (A),600,0,11.0,WN (B),600,0,11.0,WE (C),600,0,23.0,,,,,,,,,,,,,,
163110,SUB1,COND,SUB1-SUB2 LINE TO WAVETRAP JUMPER,1-715.5-37 kcmil AAC - INTERIOR RATING,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),631,0,,SE (A),742,4,,WN (B),972,0,,WE (C),1039,4,,,,,,,,,,,,,,,
187816,SUB1,BUS,115 kV MAIN BUS,715.5 kcmil AAC-Interior rating,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),631,0,,SE (A),742,4,,WN (B),972,0,,WE (C),1039,4,,,,,,,,,,,,,,,
