OID,Column(s) updated,Old Value,New Value
163125,OID,163125,163125.0
163125,High kV,115kV,115.0
163125,Group,SUB1-SUB2,
163125,High Rating,2000,2000.0
163125,Duration,0,0.0
163125,High Rating.1,2000,2000.0
163125,Duration.1,0,4.0
163125,High Rating.2,2000,2000.0
163125,Duration.2,0,0.0
163125,High Rating.3,2000,2000.0
163125,Duration.3,0,4.0
163125,Type of Change,,Previously Submitted
163127,OID,163127,163127.0
163127,High kV,115kV,115.0
163127,Group,SUB1-SUB2,
163127,High Rating,2000,2000.0
163127,Duration,0,0.0
163127,High Rating.1,2000,2000.0
163127,Duration.1,0,4.0
163127,High Rating.2,2000,2000.0
163127,Duration.2,0,0.0
163127,High Rating.3,2000,2000.0
163127,Duration.3,0,4.0
163127,Type of Change,,Previously Submitted
163126,OID,163126,163126.0
163126,High kV,115kV,115.0
163126,Group,SUB1-SUB2,
163126,High Rating,2000,2000.0
163126,Duration,0,0.0
163126,High Rating.1,2000,2000.0
163126,Duration.1,0,4.0
163126,High Rating.2,2000,2000.0
163126,Duration.2,0,0.0
163126,High Rating.3,2000,2000.0
163126,Duration.3,0,4.0
163126,Type of Change,,Previously Submitted
163113,OID,163113,163113.0
163113,High kV,115kV,115.0
163113,Group,SUB1-SUB2,
163113,High Rating,600,600.0
163113,Duration,0,0.0
163113,High Rating.1,600,600.0
163113,Duration.1,0,4.0
163113,High Rating.2,600,600.0
163113,Duration.2,0,0.0
163113,High Rating.3,600,600.0
163113,Duration.3,0,4.0
163113,Type of Change,,Previously Submitted
163114,OID,163114,163114.0
163114,High kV,115kV,115.0
163114,Group,SUB1-SUB2,
163114,High Rating,1200,1200.0
163114,Duration,0,0.0
163114,High Rating.1,1200,1200.0
163114,Duration.1,0,4.0
163114,High Rating.2,1200,1200.0
163114,Duration.2,0,0.0
163114,High Rating.3,1200,1200.0
163114,Duration.3,0,4.0
163114,Type of Change,,Previously Submitted
163112,OID,163112,163112.0
163112,High kV,115kV,115.0
163112,Group,SUB1-SUB2,
163112,High Rating,600,600.0
163112,Duration,0,0.0
163112,High Rating.1,600,600.0
163112,Duration.1,0,4.0
163112,High Rating.2,600,600.0
163112,Duration.2,0,0.0
163112,High Rating.3,600,600.0
163112,Duration.3,0,4.0
163112,Type of Change,,Previously Submitted
163111,OID,163111,163111.0
163111,High kV,115kV,115.0
163111,Group,SUB1-SUB2,
163111,High Rating,2000,2000.0
163111,Duration,0,0.0
163111,High Rating.1,2000,2000.0
163111,Duration.1,0,4.0
163111,High Rating.2,2000,2000.0
163111,Duration.2,0,0.0
163111,High Rating.3,2000,2000.0
163111,Duration.3,0,4.0
163111,Type of Change,,Previously Submitted
163109,OID,163109,163109.0
163109,Component Description,SUB1-SUB2,SUB1-SUB2 - CB 1012 & CB 1032
163109,High kV,115kV,115.0
163109,Group,SUB1-SUB2,
163109,High Rating,2000,2000.0
163109,Duration,0,0.0
163109,High Rating.1,2000,2000.0
163109,Duration.1,0,4.0
163109,High Rating.2,2000,2000.0
163109,Duration.2,0,0.0
163109,High Rating.3,2000,2000.0
163109,Duration.3,0,4.0
163109,Type of Change,,Update
163115,OID,163115,163115.0
163115,Component Description,SUB1-SUB2 CB 1032,CB 1032
163115,Additional Information,1200/5 set at 800*1 TRF,800/5*1 TRF = 800A; Installed 1995
163115,High kV,115kV,115.0
163115,Group,SUB1-SUB2,
163115,T-Line Name,SUB1-SUB2,
163115,High Rating,800,800.0
163115,Duration,0,0.0
163115,High Rating.1,800,800.0
163115,Duration.1,0,4.0
163115,High Rating.2,800,800.0
163115,Duration.2,0,0.0
163115,High Rating.3,800,800.0
163115,Duration.3,0,4.0
163115,Type of Change,,Update
163116,OID,163116,163116.0
163116,Component Description,SUB1-SUB2 CB 1032,SUB1-SUB2 - CB 1012 & CB 1032
163116,High kV,115kV,115.0
163116,Group,SUB1-SUB2,
163116,T-Line Name,SUB1-SUB2,
163116,High Rating,600,600.0
163116,Duration,0,0.0
163116,High Rating.1,600,600.0
163116,Duration.1,0,4.0
163116,High Rating.2,600,600.0
163116,Duration.2,0,0.0
163116,High Rating.3,600,600.0
163116,Duration.3,0,4.0
163116,Note #.3,23.0,11.0
163116,Type of Change,,Update
163110,OID,163110,163110.0
163110,Component Description,SUB1-SUB2 LINE TO WAVETRAP JUMPER,SUB1-SUB2 - CB 1012 & CB 1032 (smallest TERM cond)
163110,Additional Information,1-715.5-37 kcmil AAC - INTERIOR RATING,"715.5 KCMIL AL - SPECIAL RATING PER 073137 - INTERIOR RATING (715.5 KCMIL AL - SPECIAL RATING PER 073137, 2-1113 KCMIL AL - SPECIAL RATING PER 073137, 3"" SPS AL TUBING)"
163110,High kV,115kV,115.0
163110,Group,SUB1-SUB2,
163110,T-Line Name,SUB1-SUB2,
163110,High Rating,631,742.0
163110,Duration,0,0.0
163110,High Rating.1,742,835.0
163110,Duration.1,4,4.0
163110,High Rating.2,972,1039.0
163110,Duration.2,0,0.0
163110,High Rating.3,1039,1100.0
163110,Duration.3,4,4.0
163110,Type of Change,,Update
187816,OID,187816,
187816,High kV,115kV,115.0
187816,Group,SUB1-SUB2,
187816,High Rating,631,631.0
187816,Duration,0,0.0
187816,High Rating.1,742,742.0
187816,Duration.1,4,4.0
187816,High Rating.2,972,972.0
187816,Duration.2,0,0.0
187816,High Rating.3,1039,1039.0
187816,Duration.3,4,4.0
187816,Type of Change,,Previously Submitted
182003,OID,182003,182003.0
182003,Component Description,115 KV BUS 2,115 kV BUS 2 
182003,Additional Information,"2"" IPS CU - INTERIOR RATING","2"" IPS CU - INTERIOR RATING (2"" IPS CU, 2-2300 KCMIL AL, 4"" AL Tube - SCH 80)"
182003,High kV,115kV,115.0
182003,Group,SUB1-SUB2,
182003,High Rating,1770,1770.0
182003,Duration,0,0.0
182003,High Rating.1,2235,2235.0
182003,Duration.1,4,4.0
182003,High Rating.2,2445,2445.0
182003,Duration.2,0,0.0
182003,High Rating.3,2805,2805.0
182003,Duration.3,4,4.0
182003,Type of Change,,Update
173428,OID,173428,173428.0
173428,Component Description,115 KV Bus 1,115 kV BUS 1
173428,Additional Information,"2"" IPS CU - INTERIOR RATING","2"" IPS CU - INTERIOR RATING (2"" IPS CU, 2-2300 KCMIL AL, 4"" AL Tube - SCH 80)"
173428,High kV,115kV,115.0
173428,Group,SUB1-SUB2,
173428,High Rating,1770,1770.0
173428,Duration,0,0.0
173428,High Rating.1,2235,2235.0
173428,Duration.1,4,4.0
173428,High Rating.2,2445,2445.0
173428,Duration.2,0,0.0
173428,High Rating.3,2805,2805.0
173428,Duration.3,4,4.0
173428,Type of Change,,Update
96655,OID,96655,96655.0
96655,High kV,115kV,115.0
96655,Group,SUB1-SUB2,
96655,High Rating,2000,2000.0
96655,Duration,0,0.0
96655,High Rating.1,2000,2000.0
96655,Duration.1,0,4.0
96655,High Rating.2,2000,2000.0
96655,Duration.2,0,0.0
96655,High Rating.3,2000,2000.0
96655,Duration.3,0,4.0
155179,OID,155179,155179.0
155179,High kV,115kV,115.0
155179,Group,SUB1-SUB2,
155179,High Rating,2000,2000.0
155179,Duration,0,0.0
155179,High Rating.1,2000,2000.0
155179,Duration.1,0,4.0
155179,High Rating.2,2000,2000.0
155179,Duration.2,0,0.0
155179,High Rating.3,2000,2000.0
155179,Duration.3,0,4.0
155179,Type of Change,,Update
155180,OID,155180,155180.0
155180,High kV,115kV,115.0
155180,Group,SUB1-SUB2,
155180,High Rating,2000,2000.0
155180,Duration,0,0.0
155180,High Rating.1,2000,2000.0
155180,Duration.1,0,4.0
155180,High Rating.2,2000,2000.0
155180,Duration.2,0,0.0
155180,High Rating.3,2000,2000.0
155180,Duration.3,0,4.0
155180,Type of Change,,Update
155181,OID,155181,155181.0
155181,High kV,115kV,115.0
155181,Group,SUB1-SUB2,
155181,High Rating,600,600.0
155181,Duration,0,0.0
155181,High Rating.1,600,600.0
155181,Duration.1,0,4.0
155181,High Rating.2,600,600.0
155181,Duration.2,0,0.0
155181,High Rating.3,600,600.0
155181,Duration.3,0,4.0
155182,OID,155182,155182.0
155182,High kV,115kV,115.0
155182,Group,SUB1-SUB2,
155182,High Rating,600,600.0
155182,Duration,0,0.0
155182,High Rating.1,600,600.0
155182,Duration.1,0,4.0
155182,High Rating.2,600,600.0
155182,Duration.2,0,0.0
155182,High Rating.3,600,600.0
155182,Duration.3,0,4.0
166650,OID,166650,166650.0
166650,Additional Information,"SN/WN 3/4"" IPS CU; SE/WE 715 KCMIL AL - SPECIAL RATING PER 073137 - INTERIOR RATINGS (3/4"" IPS CU; 715 KCMIL AL - SPECIAL RATING PER 073137; 1113 KCMIL AL - SPECIAL RATING PER 073137)","SN/WN 3/4"" IPS CU; SE/WE 715 KCMIL AL - SPECIAL RATING PER 073137 - INTERIOR RATINGS (3/4"" IPS CU, 715 KCMIL AL - SPECIAL RATING PER 073137, 1113 KCMIL AL - SPECIAL RATING PER 073137)"
166650,High kV,115kV,115.0
166650,Group,SUB1-SUB2,
166650,High Rating,725,725.0
166650,Duration,0,0.0
166650,High Rating.1,835,835.0
166650,Duration.1,4,4.0
166650,High Rating.2,1005,1005.0
166650,Duration.2,0,0.0
166650,High Rating.3,1100,1100.0
166650,Duration.3,4,4.0
166650,Type of Change,,Update
166651,OID,166651,166651.0
166651,Component Description,SUB1-SUB2 - CB-132,CB 132
166651,High kV,115kV,115.0
166651,Group,SUB1-SUB2,
166651,High Rating,2000,2000.0
166651,Duration,0,0.0
166651,High Rating.1,2000,2000.0
166651,Duration.1,0,4.0
166651,High Rating.2,2000,2000.0
166651,Duration.2,0,0.0
166651,High Rating.3,2000,2000.0
166651,Duration.3,0,4.0
166651,Type of Change,,Update
166652,OID,166652,166652.0
166652,Component Description,SUB1 - SUB2 - CB-132,SUB1-SUB2 - CB 132
166652,High kV,115kV,115.0
166652,Group,SUB1-SUB2,
166652,High Rating,400,400.0
166652,Duration,0,0.0
166652,High Rating.1,400,400.0
166652,Duration.1,0,4.0
166652,High Rating.2,400,400.0
166652,Duration.2,0,0.0
166652,High Rating.3,400,400.0
166652,Duration.3,0,4.0
166652,Type of Change,,Update
166653,OID,166653,166653.0
166653,Component Description,SUB1-SUB2 - CB-132,SUB1-SUB2 - CB 132
166653,High kV,115kV,115.0
166653,Group,SUB1-SUB2,
166653,High Rating,400,400.0
166653,Duration,0,0.0
166653,High Rating.1,400,400.0
166653,Duration.1,0,4.0
166653,High Rating.2,400,400.0
166653,Duration.2,0,0.0
166653,High Rating.3,400,400.0
166653,Duration.3,0,4.0
166653,Type of Change,,Update
