OID,Station Name,Component Type,Component Description,Additional Information,High KV,Low KV,Tertiary KV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,AMP Rating,Duration,Note #,Rating Type.1,AMP Rating.1,Duration.1,Note #.1,Rating Type.2,AMP Rating.2,Duration.2,Note #.2,Rating Type.3,AMP Rating.3,Duration.3,Note #.3,Rating Type.4,AMP Rating.4,MVA Rating,MVAr High,MVAr Low,Con,Duration.4,Note #.4,Mismatch,Type of Change
163125.0,SUB1,DISC,1011,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163127.0,SUB1,CB,1012,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163126.0,SUB1,DISC,1013,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163119.0,SUB1,DISC,1015,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
163128.0,SUB1,DISC,1025,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
163113.0,SUB1,DISC,1031,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163114.0,SUB1,CB,1032,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163112.0,SUB1,DISC,1033,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163111.0,SUB1,DISC,1035,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163109.0,SUB1,WTRP,SUB1-SUB2 - CB 1012 & CB 1032,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163115.0,SUB1,CT,CB 1032,800/5*1 TRF = 800A; Installed 1995,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, Additional Information, High KV, Group, T-Line Name, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
163116.0,SUB1,TERM,SUB1-SUB2 - CB 1012 & CB 1032,,,,,AMPS,,Y,,,SN (N),,0,11.0,SE (A),,4,11.0,WN (B),,0,11.0,WE (C),,4,11.0,,,,,,,,,Yes,"Updated: OID, Component Description, High KV, Group, T-Line Name, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3, Note #.3"
163110.0,SUB1,COND,SUB1-SUB2 - CB 1012 & CB 1032 (smallest TERM cond),"715.5 KCMIL AL - SPECIAL RATING PER 073137 - INTERIOR RATING (715.5 KCMIL AL - SPECIAL RATING PER 073137, 2-1113 KCMIL AL - SPECIAL RATING PER 073137, 3"" SPS AL TUBING)",,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, Additional Information, High KV, Group, T-Line Name, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
,SUB1,BUS,115 kV MAIN BUS,715.5 kcmil AAC-Interior rating,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
187817.0,SUB1,CT,1012,1200/5 set at 400*2 TRF,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),800.0,0,,SE (A),800.0,0,,WN (B),800.0,0,,WE (C),800.0,0,,,,,,,,,,No,
